CODE,SCORE,PUNISH,OTHER_PENALTIES,ACT,BELONG
1357,记3分,罚款20元,警告,遇行人正在通过人行横道时未停车让行的,全国性法规
1352,记3分,罚款20元,警告,驾驶中型以上载客载货汽车、危险物品运输车辆以外的其他机动车行驶超过规定时速未达20%的,全国性法规
1353,记3分,罚款200元,扣车,驾驶货车载物超过核定载质量未达30%的,全国性法规
1358,记3分,罚款20元,警告,行经没有交通信号的道路时，遇行人横过道路未避让的,全国性法规
13520,记3分,罚款50元,####,驾驶中型以上载客载货汽车、危险物品运输车辆以外的其他机动车行驶超过规定时速未达20%的,全国性法规
1354,记3分,罚款200元,####,驾驶危险物品运输车辆载物超过核定载质量未达30%的,全国性法规
136001,记3分,罚款100元,####,在没有划分中心线和机非分道的道路上不按规定行驶的,全国性法规
13521,记3分,罚款50元,####,驾驶中型以上载客汽车、危险物品运输车辆以外的其他机动车行驶超过规定时速未达20%的,全国性法规
1355,记3分,罚款50元,警告,驾驶机动车在城市快速路上不按规定车道行驶的,全国性法规
136002,记3分,罚款100元,####,违反分道行驶规定的,全国性法规
142001,记4分,罚款200元,####,超过规定时速不足50%的,全国性法规
137000,记3分,罚款200元,####,违反规定进入专用车道内行驶的,全国性法规
147100,记4分,罚款200元,####,行经人行横道遇行人通过时未停车让行的,全国性法规
143100,记4分,罚款50元,####,在同车道行驶中不按规定与前车保持安全距离的,全国性法规
138001,记3分,罚款100元,####,违反指示标志、标线或交通指挥指示的,全国性法规
147200,记4分,罚款100元,####,行经无交通信号的道路遇行人横过道路未避让的,全国性法规
143200,记4分,罚款200元,####,不按规定超车的,全国性法规
138002,记3分,罚款100元,####,违反禁令标志、警告标志、禁止禁线、警告标线指示的,全国性法规
148101,记4分,罚款100元,####,机动车载物遗洒、飘散载运物的,全国性法规
144001,记4分,罚款100元,####,机动车通过无交通信号控制路口未减速让行的,全国性法规
138003,记3分,罚款200元,####,违反交通信号灯指示的,全国性法规
148200,记4分,罚款100元,####,运载超限的不可解体物品，未按交管部门规定行驶的,全国性法规
145100,记4分,罚款200元,####,遇有前方车辆排队等候或缓慢行驶时，借道超车的,全国性法规
139001,记3分,罚款100元,####,违反限制通行规定的,全国性法规
148300,记4分,罚款200元,####,运载危险化学品未按规定行驶的,全国性法规
145101,记4分,罚款200元,####,遇有前方车辆排队等候或缓慢行驶时，占用对面车道的,全国性法规
152002,记5分,罚款100元,####,机动车发生故障，未按规定报警的,全国性法规
149001,记4分,罚款100元,####,机动车载人超过核定人数未达20%的,全国性法规
145102,记4分,罚款200元,####,遇有前方车辆排队等候或缓慢行驶时，穿插等候车辆的,全国性法规
153100,记5分,罚款200元,####,不避让执行紧急任务的警车、消防车、救护车、工程救险车的,全国性法规
149002,记4分,罚款200元,####,机动车载人超过核定人数达20%以上的,全国性法规
145200,记4分,罚款100元,####,违反交替通行规定的,全国性法规
153200,记5分,罚款200元,####,警车、消防车、救护车、工程救险车在非执行紧急任务时使用警报器、标志灯具的,全国性法规
151001,记5分,罚款50元,####,机动车驾驶人未按规定使用安全带的,全国性法规
146001,记4分,罚款200元,####,通过铁路道口，违反交通信号或者管理人员指挥的,全国性法规
155100,记5分,罚款50元,####,拖拉机在禁行道路上行驶的,全国性法规
151002,记5分,罚款50元,####,摩托车驾驶人未按规定戴安全头盔,全国性法规
146002,记4分,罚款100元,####,通过无交通信号或管理人员的铁路道口未减速或停车确认安全的,全国性法规
155200,记5分,罚款100元,####,拖拉机违反规定载人的,全国性法规
152001,记5分,罚款200元,####,机动车发生故障尚能移动，未移至不妨碍交通地点的,全国性法规
156100,记5分,罚款200元,####,在禁止停放车辆的地点停放车辆的,全国性法规
1603B,记6分,罚款2000元,可以并处吊销驾照,机动车行驶超过规定时速50%的 B:超过规定时速100%以上,全国性法规
1601A,记6分,罚款1000元,####,公路客运车辆载客超过额定乘员20%的 A:超过额定乘员20%以上不足50%的,全国性法规
16101,记6分,罚款1800元,拘留15日以下,在驾驶证暂扣期间仍驾驶机动车的,全国性法规
16032,记6分,罚款500元,####,机动车行驶超过规定时速50%的,全国性法规
1601B,记6分,罚款1500元,####,公路客运车辆载客超过额定乘员20%的 B:超过额定乘员50%以上不足100%,全国性法规
16102,记6分,罚款800元,拘留15日以下,在驾驶证暂扣期间仍驾驶机动车的,全国性法规
16035,记6分,罚款500元,####,机动车行驶超过规定时速50%不足70%的,全国性法规
1601C,记6分,罚款2000元,####,公路客运车辆载客超过额定乘员20%的 C:超过额定乘员100%以上的,全国性法规
16103,记6分,罚款500元,拘留15日以下,在驾驶证暂扣期间仍驾驶机动车的,全国性法规
1604,记6分,罚款300元,可以并处暂扣驾照2月,饮酒后驾驶机动车的,全国性法规
1603A,记6分,罚款1000元,可以并处吊销驾照,机动车行驶超过规定时速50%的 A:超过规定时速50%以上不足100%的,全国性法规
16104,记6分,罚款200元,拘留15日以下,在驾驶证暂扣期间仍驾驶机动车的,全国性法规
1605,记6分,罚款500元,可以并处暂扣驾照3月,饮酒后驾驶营运机动车的,全国性法规
1611,记6分,罚款200元,####,连续驾驶公路客运车辆超过4小时未停车休息或者停车休息时间少于20分钟的,全国性法规
1606,记6分,罚款1000元,####,公路客运车辆违反规定载货的,全国性法规
1617,记6分,罚款200元,####,运载危险物品时不按规定的时间、路线、速度行驶的,全国性法规
1612,记6分,罚款200元,####,连续驾驶危险物品运输车辆超过4小时未停车休息或者停车休息时间少于20分钟的,全国性法规
1607A,记6分,罚款500元,####,货运机动车违反规定载客的 A:违反规定载客3人以下的,全国性法规
16171,记6分,罚款200元,####,运载危险物品时不按规定的时间行驶的,全国性法规
1613,记6分,罚款200元,####,上道路行驶的机动车未悬挂机动车号牌,全国性法规
1607B,记6分,罚款1500元,####,货运机动车违反规定载客的 B:B违反规定载客3人以上的,全国性法规
16172,记6分,罚款200元,####,运载危险物品时不按规定的路线行驶的,全国性法规
1614,记6分,罚款200元,####,故意遮挡机动车号牌,全国性法规
1609,记6分,罚款2000元,####,运输剧毒化学品机动车超过规定时速50%以上的,全国性法规
16173,记6分,罚款200元,####,运载危险物品时不按规定的速度行驶的,全国性法规
1615,记6分,罚款200元,####,故意污损机动车号牌的,全国性法规
1610,记6分,罚款200元,####,在驾驶证暂扣期间仍驾驶机动车的,全国性法规
1618,记6分,罚款200元,####,运载危险物品时未悬挂警示标志的,全国性法规
1616,记6分,罚款200元,####,不按规定安装机动车号牌,全国性法规
1619,记6分,罚款200元,####,运载危险物品时未采取必要的安全措施的,全国性法规
1625,记6分,罚款200元,####,驾驶机动车违反道路交通信号灯通行,全国性法规
1621,记6分,罚款200元,####,公路客运车辆载客超过核定载客人数未达20%,全国性法规
16250,记6分,罚款200元,####,驾驶机动车违反道路交通信号灯通行的,全国性法规
1632,记6分,罚款20元,警告,驾驶中型以上载客汽车在高速公路、城市快速路以外的道路上行驶超过规定时速20%以上未达到50%的,全国性法规
1622,记6分,罚款200元,警告,驾驶机动车违反道路交通信号灯通行的,全国性法规
16251,记6分,罚款200元,####,不按交通信号灯规定通行的,全国性法规
1633,记6分,罚款20元,警告,驾驶中型以上载货汽车在高速公路、城市快速路以外的道路上行驶超过规定时速20%以上,全国性法规
1623,记6分,罚款200元,扣车,校车载人超过核定人数未达20%的,全国性法规
16252,记6分,罚款200元,####,机动车不按方向指示信号灯表示通行的,全国性法规
1634,记6分,罚款20元,警告,驾驶校车在高速公路、城市快速路以外的道路上行驶超过规定时速20%以上未达到50%的,全国性法规
1624,记6分,罚款200元,####,机动车驾驶人不按照规定避让校车的,全国性法规
1626,记6分,罚款200元,####,驾驶公路客运车辆、公共汽车以外的其他营运客车载人超过核定人数未达20％的,全国性法规
1635,记6分,罚款20元,警告,驾驶危险物品运输车辆在高速公路、城市快速路以外的道路上行驶超过规定时速20%以上未达到50%的,全国性法规
1627,记6分,罚款200元,警告,驾驶营运客车（不包括公共汽车）以外的其他载客汽车载人超过核定人数20％以上的,全国性法规
1636,记6分,罚款20元,警告,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车行驶超过规定时速20%以上未达到50%的,全国性法规
16367,记6分,罚款200元,####,驾驶危险物品运输车辆在高速公路、城市快速路以外的道路上行驶超过规定时速30%以上未达到50%的,全国性法规
1628,记6分,罚款20元,警告,驾驶中型以上载客汽车在城市快速路上行驶超过规定时速未达20％的,全国性法规
16360,记6分,罚款100元,####,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车行驶超过规定时速20%以上未达到50%的,全国性法规
1636A,记6分,罚款200元,####,机动车行驶超过规定时速（50%以上不足100%的）,全国性法规
1629,记6分,罚款20元,警告,驾驶中型以上载货汽车在城市快速路上行驶超过规定时速未达20％的,全国性法规
16361,记6分,罚款200元,####,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车在高速公路行驶超过规定时速20%以上50%的。,全国性法规
1637,记6分,罚款500元,扣车,驾驶货车载物超过核定载质量30%以上,全国性法规
1630,记6分,罚款20元,警告,驾驶校车在城市快速路上行驶超过规定时速未达20％的,全国性法规
16362,记6分,罚款20元,####,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车 行驶超过规定时速20%以上未达到50%,全国性法规
1638,记6分,罚款500元,扣车,驾驶货车违反规定载客的,全国性法规
1631,记6分,罚款20元,警告,驾驶危险物品运输车辆在城市快速路上行驶超过规定时速未达20％的,全国性法规
16364,记6分,罚款50元,####,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车在高速公路以外的道路上行驶超过规定时速20%以上未达到30%的,全国性法规
1639,记6分,罚款500元,扣车,危险物品运输车辆载物超过核定载质量30%以上的,全国性法规
1642,记6分,罚款20元,警告,连续驾驶中型以上载客汽车、危险物品运输车辆以外的机动车超过4小时未停车休息或者停车休息时间少于20分钟的,全国性法规
16366,记6分,罚款50元,####,驾驶危险物品运输车辆在高速公路、城市快速路以外的道路上行驶超过规定时速20%以上未达到30%的,全国性法规
1640,记6分,罚款150元,警告,驾驶机动车运载超限的不可解体的物品，未按指定的时间、路线、速度行驶的,全国性法规
16421,记6分,罚款200元,####,连续驾驶中型以上载客汽车、危险物品运输车辆以外的机动车超过4小时未停车休息的,全国性法规
16401,记6分,罚款100元,####,运载超限物品时不按规定的时间行驶的,全国性法规
1709A,记12分,罚款1000元,####,驾驶与驾驶证载明的准驾车型不相符合的车辆的 A:驾驶非汽车类,全国性法规
16422,记6分,罚款200元,####,连续驾驶中型以上载客汽车、危险物品运输车辆以外的机动车超过4小时停车休息时间少于20分钟的,全国性法规
16402,记6分,罚款100元,####,运载超限物品时不按规定的路线行驶的,全国性法规
17090,记12分,罚款200元,####,驾驶与驾驶证载明的准驾车型不相符合的车辆的,全国性法规
1701,记12分,罚款200元,####,使用他人机动车驾驶证驾驶机动车的,全国性法规
16403,记6分,罚款100元,####,运载超限物品时不按规定的速度行驶的,全国性法规
17091,记12分,罚款800元,拘留15日以下,驾驶与驾驶证载明的准驾车型不相符合的车辆的,全国性法规
1702,记12分,罚款1500元,驾照暂扣3个月、拘留15天以下,醉酒后驾驶机动车的,全国性法规
1641,记6分,罚款150元,警告,驾驶机动车运载超限的不可解体的物品，未悬挂明显标志的,全国性法规
17092,记12分,罚款1800元,拘留15日以下,驾驶与驾驶证载明的准驾车型不相符合的车辆的,全国性法规
1703,记12分,罚款2000元,驾照暂扣6个月 拘留15天以下,醉酒后驾驶营运机动车的,全国性法规
17093,记12分,罚款200元,拘留15日以下,驾驶与驾驶证载明的准驾车型不相符合的车辆的,全国性法规
1704A,记12分,罚款1000元,可以并处拘留15天以下,在驾驶证暂扣期间仍驾驶机动车的 A:在驾驶证暂扣期间仍驾驶非汽车类机动车的,全国性法规
1716,记12分,罚款500元,####,驾驶公路客运车辆、公共汽车以外的其他营运客车载人超过核定人数20％以上的,全国性法规
17094,记12分,罚款500元,拘留15日以下,驾驶与驾驶证载明的准驾车型不相符合的车辆的,全国性法规
1704B,记12分,罚款1500元,可以并处拘留15天以下,在驾驶证暂扣期间仍驾驶机动车的 B:在驾驶证暂扣期间仍驾驶汽车的,全国性法规
17161,记12分,罚款1000元,####,驾驶营运客车(不包括公共汽车)载人超过核定人数20%以上50％以下的,全国性法规
1712,记12分,罚款500元,扣证3个月,饮酒后驾驶机动车的,全国性法规
1705,记12分,罚款2000元,可以并处拘留15天以下,造成交通事故后逃逸，尚不构成犯罪,全国性法规
17162,记12分,罚款1800元,####,驾驶营运客车(不包括公共汽车)载人超过核定人数50％以上的,全国性法规
17120,记12分,罚款2000元,并处暂扣驾驶证6个月,饮酒后驾驶机动车的,全国性法规
1706,记12分,罚款2000元,可以并处拘留15天以下,违反交通管制规定强行通行，不听劝阻的,全国性法规
1717,记12分,罚款20元,警告,上道路行驶的机动车未悬挂机动车号牌的,全国性法规
17121,记12分,罚款1500元,暂扣6月,饮酒后驾驶机动车的,全国性法规
17170,记12分,罚款200元,####,上道路行驶的机动车未悬挂机动车号牌的,全国性法规
17211,记12分,罚款1000元,驾照可以吊销,驾驶中型以上载客载货汽车、危险物品运输车辆以外的机动车行驶超过规定时速50%以上的,全国性法规
17122,记12分,罚款2000元,暂扣6月,饮酒后驾驶机动车的,全国性法规
1718,记12分,罚款200元,警告,故意遮挡机动车号牌的,全国性法规
17212,记12分,罚款1800元,驾照可以吊销,驾驶中型以上载客载货汽车、危险物品运输车辆以外的机动车在高速公路上超过规定时速50%以上的,全国性法规
1719,记12分,罚款200元,警告,故意污损机动车号牌的,全国性法规
1728,记12分,罚款200元,吊销/扣照,驾驶校车在高速公路以外的道路上行驶超过规定时速50%的,全国性法规
1721A,记12分,罚款50元,吊销/扣照,驾车超过规定最高时速20公里以上的,全国性法规
1720,记12分,罚款200元,警告,不按规定安装机动车号牌的,全国性法规
1729,记12分,罚款200元,吊销/扣照,驾驶危险物品运输车辆在高速公路以外的道路上行驶超过规定时速50%的,全国性法规
1721C,记12分,罚款2000元,####,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的机动车行驶超过规定时速100%以上的,全国性法规
1721,记12分,罚款200元,吊销/扣照,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的机动车行驶超过规定时速50%以上的,全国性法规
1730,记12分,罚款20元,警告,连续驾驶中型以上载客汽车超过4小时未停车休息或者停车休息时间少于20分钟的,全国性法规
1722,记12分,罚款20元,警告,驾驶中型以上载客汽车在城市快速路上行驶超过规定时速20％以上未达50%的,全国性法规
17210,记12分,罚款500元,可并处吊销/扣留驾驶证,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的机动车行驶超过规定时速50%以上不足70%的,全国性法规
1731,记12分,罚款20元,警告,连续驾驶危险物品运输车辆超过4小时未停车休息或者停车休息时间少于20分钟的,全国性法规
1723,记12分,罚款20元,警告,驾驶中型以上载货汽车在城市快速路上行驶超过规定时速20％以上未达50%的,全国性法规
1603,记6分,罚款1000元,####,机动车行驶超过规定时速50%的,全国性法规
1724,记12分,罚款20元,警告,驾驶校车在城市快速路上行驶超过规定时速20％以上未达50%的,全国性法规
10396,####,罚款200元,####,汽车在道路上违反规定停放且驾驶人不在现场，妨碍其他车辆、行人通行的,全国性法规
17213,记12分,罚款500元,可并处吊销/扣留驾驶证,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的机动车在高速公路上行驶超过规定时速50%以上不足70%的,全国性法规
1725,记12分,罚款20元,警告,驾驶危险物品运输车辆在城市快速路上行驶超过规定时速20％以上未达50%的,全国性法规
13524,记3分,罚款20元,####,驾驶中型以上载客载货汽车、危险物品运输车辆以外的其他机动车在高速公路上行驶超过规定时速未达20%的,全国性法规
17182,记12分,罚款200元,####,故意遮挡机动车号牌的,全国性法规
1726,记12分,罚款200元,吊销/扣照,驾驶中型以上载客汽车在高速公路以外的道路上行驶超过规定时速50%的,全国性法规
13526,记3分,罚款100元,####,驾驶中型以上载客载货汽车、危险物品运输车辆以外的其他机动车行驶超过规定时速未达20%的,全国性法规
16031,记6分,罚款1000元,####,机动车行驶超过规定时速50%未达80％,全国性法规
1727,记12分,罚款200元,吊销/扣照,驾驶中型以上载货汽车在高速公路以外的道路上行驶超过规定时速50%的,全国性法规
17214,记12分,罚款2000元,并处吊销驾驶证/扣留驾驶证,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的机动车在高速公路上行驶超过规定时速70%以上的（原代码16034）,全国性法规
13012,记3分,罚款200元,####,机动车逆向行驶,全国性法规
17216,记12分,罚款1000元,可以并处吊销/扣证,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的机动车在高速公路以外的道路行驶超过规定时速70%不足100%的（简称：其他车高速公路外超速70%以上不足100%）,全国性法规
12082,记2分,罚款100元,####,机动车通过有灯控路口时，不按所需行进方向驶入导向车道的,全国性法规
20042,####,罚款20元,####,非机动车在机动车行驶的,全国性法规
2001,####,罚款200元,拘留15日以下,非机动车造成交通事故后逃逸，尚不构成犯罪的,全国性法规
20043,####,罚款20元,####,驾驶非机动车在机动车道上停车滞留的,全国性法规
2002,####,罚款200元,拘留15日以下,非机动车违反交通管制的规定强行通行，不听劝阻的,全国性法规
2011,####,罚款5元,拒绝罚款，可以扣车,驾驶残疾人机动轮椅车超速行驶的,全国性法规
2005,####,罚款5元,拒绝罚款，可以扣车,没有非机动车车道的道路上，非机动车不靠车行道右侧行驶的,全国性法规
2003,####,罚款20元,####,非机动车未依法登记，上道路行驶的,全国性法规
2012,####,罚款5元,拒绝罚款，可以扣车,驾驶电动自行车超速行驶的,全国性法规
2006,####,罚款5元,拒绝罚款，可以扣车,非机动车违反规定使用其它车辆专用车道的,全国性法规
2004,####,罚款5元,拒绝罚款，可以扣车,非机动车逆向行驶的,全国性法规
2013,####,罚款5元,拒绝罚款，可以扣车,非机动车不按规定载物的,全国性法规
2007,####,罚款5元,拒绝罚款，可以扣车,非机动车不按照交通信号规定通行的,全国性法规
20041,####,罚款20元,####,非机动车逆向行驶的,全国性法规
2014,####,罚款5元,拒绝罚款，可以扣车,非机动车不在规定地点停放的,全国性法规
2008,####,罚款5元,拒绝罚款，可以扣车,非机动车驾驶人不服从交警指挥的,全国性法规
2021,####,罚款5元,拒绝罚款，可以扣车,非机动车向右转弯遇同车道内有车等候放行信号不能转弯时，不依次等候的,全国性法规
2015,####,罚款5元,拒绝罚款，可以扣车,非机动车停放时妨碍其它车辆和行人通行的,全国性法规
2009,####,罚款5元,拒绝罚款，可以扣车,非机动车未在非机动车道内行驶的,全国性法规
2016,####,罚款5元,拒绝罚款，可以扣车,非机动车通过路口，转弯的非机动车不让直行的车辆、行人优先通行的,全国性法规
2022,####,罚款5元,拒绝罚款，可以扣车,行经无灯控、交警指挥或标志、标线控制的路口，无交通标志标线，不让右方道路的来车先行的,全国性法规
20091,####,罚款20元,####,驾驶非机动车在人行道上骑行的,全国性法规
2017,####,罚款5元,拒绝罚款，可以扣车,非机动车通过路口，遇有前方路口交通阻塞时，强行进入的,全国性法规
2023,####,罚款5元,拒绝罚款，可以扣车,行经无灯控或交警指挥的路口，右转弯的非机动车不让左转弯的车辆先行的,全国性法规
20092,####,罚款20元,####,驾驶非机动车在人行横道上骑行的,全国性法规
2018,####,罚款5元,拒绝罚款，可以扣车,非机动车通过路口，向左转弯时，不靠路口中心点右侧转弯的,全国性法规
2024,####,罚款5元,拒绝罚款，可以扣车,驾驶自行车、电动自行车、三轮车在路段上横过机动车道时不下车推行的,全国性法规
2010,####,罚款5元,拒绝罚款，可以扣车,醉酒驾驶、驾驭非机动车、畜力车的,全国性法规
2019,####,罚款5元,拒绝罚款，可以扣车,非机动车遇停止信号时，停在停止线以内或路口内的,全国性法规
2025,####,罚款5元,拒绝罚款，可以扣车,有人行横道时，非机动车不从人行横道横过机动车道的,全国性法规
2020,####,罚款5元,拒绝罚款，可以扣车,非机动车向右转弯遇同车道内有车等候放行信号不能转弯时，不依次等候的,全国性法规
2026,####,罚款5元,拒绝罚款，可以扣车,有行人过街设施时，非机动车不从行人过街设施横过机动车道的,全国性法规
2029,####,罚款5元,拒绝罚款，可以扣车,非机动车超车时妨碍被超越的车辆行驶的,全国性法规
2039,####,罚款5元,拒绝罚款，可以扣车,在道路上骑2人以上骑行的自行车的,全国性法规
2030,####,罚款5元,拒绝罚款，可以扣车,驾驶非机动车牵引车辆的,全国性法规
2027,####,罚款5元,拒绝罚款，可以扣车,非机动车借道行驶后不迅速驶回非机动车道的,全国性法规
2041,####,罚款5元,拒绝罚款，可以扣车,在道路上骑2人以上骑行的自行车的,全国性法规
2031,####,罚款5元,拒绝罚款，可以扣车,驾驶非机动车攀扶车辆的,全国性法规
2028,####,罚款5元,拒绝罚款，可以扣车,非机动车转弯时未减速慢行，伸手示意，突然猛拐的,全国性法规
2042,####,罚款5元,拒绝罚款，可以扣车,三轮车加载动力装置的,全国性法规
2032,####,罚款5元,拒绝罚款，可以扣车,非机动车被其它车辆牵引的,全国性法规
20281,####,罚款20元,####,驾驶非机动车突然猛拐的,全国性法规
2043,####,罚款5元,拒绝罚款，可以扣车,在道路上学习驾驶非机动车的,全国性法规
2033,####,罚款5元,拒绝罚款，可以扣车,驾驶非机动车时双手离把的,全国性法规
20282,####,罚款20元,####,驾驶非机动车在车辆之间穿行的,全国性法规
2044,####,罚款5元,拒绝罚款，可以扣车,非机动车不避让盲人的,全国性法规
2034,####,罚款5元,拒绝罚款，可以扣车,驾驶非机动车时手中持物的,全国性法规
2045,####,罚款5元,拒绝罚款，可以扣车,驾驶畜力车横过道路时，驾驭人未下车牵引牲畜的,全国性法规
2050,####,罚款5元,拒绝罚款，可以扣车,使用未经驯服的牲畜驾车的,全国性法规
2035,####,罚款5元,拒绝罚款，可以扣车,驾驶非机动车时扶身并行的,全国性法规
2046,####,罚款5元,拒绝罚款，可以扣车,畜力车并行的,全国性法规
2051,####,罚款5元,拒绝罚款，可以扣车,随车幼畜未栓系的,全国性法规
2036,####,罚款5元,拒绝罚款，可以扣车,驾驶非机动车时互相追逐的,全国性法规
2047,####,罚款5元,拒绝罚款，可以扣车,驾驶畜力车时驾驭人离开车辆的,全国性法规
2052,####,罚款5元,拒绝罚款，可以扣车,停放畜力车时未拉紧车闸的,全国性法规
2037,####,罚款5元,拒绝罚款，可以扣车,驾驶非机动车时曲折竞驶的,全国性法规
2048,####,罚款5元,拒绝罚款，可以扣车,驾驶畜力车时在容易发生危险的路段超车的,全国性法规
2053,####,罚款5元,拒绝罚款，可以扣车,停放畜力车时未栓系牲畜的,全国性法规
2038,####,罚款5元,拒绝罚款，可以扣车,在道路上骑独轮自行车的,全国性法规
2049,####,罚款5元,拒绝罚款，可以扣车,驾驶两轮畜力车不下车牵引牲畜的,全国性法规
2054,####,罚款5元,拒绝罚款，可以扣车,未满12周岁驾驶自行车、三轮车的,全国性法规
2055,####,罚款5元,拒绝罚款，可以扣车,未满16周岁驾驶、驾驭电动自行车、残疾人机动轮椅、畜力车的,全国性法规
3002,####,罚款5元,警告,行人不服从交警指挥的,全国性法规
20551,####,罚款10元,####,未满16周岁驾驶畜力车的,全国性法规
3011,####,罚款5元,警告,学龄前儿童以及不能辨认或不能控制自己行为的精神病患者、智力障碍者在道路上通行时，没有其监护人或对其负有管理职责的人带领的,全国性法规
3003,####,罚款5元,警告,行人不在人行道内行走的,全国性法规
20552,####,罚款10元,####,未满16周岁驾驭电动自行车的,全国性法规
3012,####,罚款5元,警告,盲人在道路上通行，未使用导盲手段的,全国性法规
3004,####,罚款5元,警告,行人在没有划分机动车道、非机动车道和人行道的道路上，不靠路边行走的,全国性法规
20553,####,罚款10元,####,未满16周岁驾驶残疾人机动轮椅的,全国性法规
3013,####,罚款5元,警告,行人不按规定通过铁道路口的,全国性法规
3005,####,罚款5元,警告,行人横过道路未走人行横道或过街设施的,全国性法规
3001,####,罚款5元,警告,行人违反交通信号通行的,全国性法规
3014,####,罚款5元,警告,在道路上使用滑行工具的,全国性法规
30051,####,罚款10元,####,行人横过道路未走人行横道的,全国性法规
30141,####,罚款10元,####,在道路上使用滑板的,全国性法规
30052,####,罚款10元,####,行人横过道路未走过街设施的,全国性法规
3016,####,罚款5元,警告,行人有追车、抛物击车等妨碍道路交通安全的行为的,全国性法规
30142,####,罚款10元,####,在道路上使用旱冰鞋的,全国性法规
30053,####,罚款10元,####,行人通过路口未走人行横道的,全国性法规
30161,####,罚款10元,####,行人有追车妨碍道路交通安全的行为的,全国性法规
3015,####,罚款5元,警告,行人在车行道内坐卧、停留、嬉闹的,全国性法规
30054,####,罚款10元,####,行人通过路口未走过街设施的,全国性法规
30162,####,罚款10元,####,行人抛物击车等妨碍道路交通安全的行为的,全国性法规
30151,####,罚款10元,####,行人在车行道内坐卧的,全国性法规
3008,####,罚款5元,警告,行人扒车的,全国性法规
3017,####,罚款5元,警告,行人不按规定横过机动车道的,全国性法规
30152,####,罚款10元,####,行人在车行道内停留的,全国性法规
3010,####,罚款5元,警告,行人实施其它妨碍交通安全的行为的,全国性法规
3018,####,罚款5元,警告,行人列队在道路上通行时每横列超过2人的,全国性法规
30153,####,罚款10元,####,行人在车行道内嬉闹的,全国性法规
3019,####,罚款5元,警告,机动车行驶时，乘坐人员未按规定使用安全带的,全国性法规
3023,####,罚款5元,警告,乘车人有影响驾驶人安全驾驶的行为的,全国性法规
30191,####,罚款200元,####,机动车行驶时，乘坐人员未按规定使用安全带的（在普通公路、城市道路上行驶的）,全国性法规
40011,####,罚款50元,####,行人进入高速公路的,全国性法规
3024,####,罚款5元,警告,在机动车道上拦乘机动车的,全国性法规
3020,####,罚款5元,警告,乘坐摩托车不戴安全头盔的,全国性法规
40012,####,罚款50元,####,行人进入城市快速公路的,全国性法规
3025,####,罚款5元,警告,在机动车道上从机动车左侧上下车的,全国性法规
3021,####,罚款5元,警告,乘车人携带易燃、易爆等危险物品的,全国性法规
40013,####,罚款50元,####,行人进入封闭的机动车专用道的,全国性法规
3026,####,罚款5元,警告,开关车门妨碍其它车辆和行人通行的,全国性法规
3022,####,罚款5元,警告,乘车人向车外抛洒物品的,全国性法规
4002,####,罚款200元,####,拖拉机驶入高速公路的,全国性法规
30261,####,罚款10元,####,开关车门妨碍其他车辆通行的,全国性法规
4007,####,罚款200元,####,在高速公路的路肩上行驶的,全国性法规
40031,####,罚款50元,####,非机动车驶入高速公路,全国性法规
30262,####,罚款10元,####,开关车门妨碍其他行人通行的,全国性法规
40070,####,罚款200元,####,在高速公路的路肩上行驶的,全国性法规
40032,####,罚款50元,####,非机动车驶入城市快速公路,全国性法规
3027,####,罚款5元,警告,机动车行驶中乘坐人员干扰驾驶的,全国性法规
40071,####,罚款200元,####,在城市快速路的路肩上行驶的,全国性法规
40033,####,罚款50元,####,非机动车驶入封闭的机动车专用道的,全国性法规
3028,####,罚款5元,警告,机动车行驶中乘坐人员将身体任何部分伸出车外的,全国性法规
40072,####,罚款200元,####,在快速路的路肩上行驶的,全国性法规
4004,####,罚款200元,####,在高速公路上车辆发生故障或事故后，车上人员未迅速转移到右侧路肩上或者应急车道内的,全国性法规
3029,####,罚款5元,警告,乘车人在机动车行驶中跳车的,全国性法规
4008,####,罚款100元,####,非紧急情况下在高速公路应急车道上行驶的,全国性法规
4005,####,罚款100元,####,机动车从匝道进入或驶离高速公路时不按规定使用灯光的,全国性法规
3030,####,罚款5元,警告,乘坐两轮摩托车未正向骑坐的,全国性法规
40081,####,罚款200元,####,非紧急情况在应急车道行驶的,全国性法规
4006,####,罚款100元,####,机动车从匝道进入高速公路时妨碍已在高速公路内的机动车正常行驶的,全国性法规
40082,####,罚款200元,####,非紧急情况在应急车道行驶的,全国性法规
40102,####,罚款200元,####,在快速公路上骑轧车行道分界线的,全国性法规
4009,####,罚款200元,####,机动车在高速公路上通过施工作业路段，不减速行驶的,全国性法规
40111,####,罚款200元,####,在高速公路上学习驾驶机动车的,全国性法规
